44_1_VWM_learning allo;11/28/2017;12:44:36;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M3_cued_target;1;81;13720;12667
2;L1_hidden_target;1;15;0;0
3;M1_cued_target;1;305;63994;16702
4;L2_hidden_target;1;73;37115;12023
5;M2_cued_target;1;231;49455;11734
6;L3_hidden_target;1;52;21978;14060
7;M1_cued_target;1;100;18741;16631
8;L2_hidden_target;1;35;11393;10707
9;M3_cued_target;1;123;24587;13151
10;L1_hidden_target;1;46;19119;17471
11;M2_cued_target;1;73;12829;10721
12;L3_hidden_target;1;41;14194;13177
13;M3_cued_target;1;191;40995;12838
14;L2_hidden_target;1;34;11368;10761
15;M1_cued_target;1;100;19731;16773
16;L3_hidden_target;1;40;14781;12635
