34_1_VWM_learning ego;11/8/2017;12:35:33;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M3_cued_target;1;80;11618;12653
2;L2_hidden_target;1;205;90782;11978
3;M1_cued_target;1;166;32377;16903
4;L2_hidden_target;1;112;35859;10708
5;M2_cued_target;1;65;10090;10713
6;L2_hidden_target;1;44;12900;11098
7;M1_cued_target;1;105;18405;16519
8;L2_hidden_target;1;43;15424;12051
9;M3_cued_target;1;80;12174;12595
10;L2_hidden_target;1;36;11768;10897
11;M2_cued_target;1;66;10234;10734
12;L2_hidden_target;1;34;11144;10750
13;M3_cued_target;1;126;22436;12772
14;L2_hidden_target;1;34;10888;10710
15;M1_cued_target;1;114;19876;16742
16;L2_hidden_target;1;33;10863;10705
