29_2_VWM_retest allo;10/27/2017;18:03:46;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;80;25386;17050
2;X2_no_target;1;69;20155;12268
3;M2_cued_target;1;132;41922;11751
4;X3_no_target;1;67;19459;16186
5;M3_cued_target;1;60;14910;12880
6;X1_no_target;1;67;24898;17799
7;M2_cued_target;1;155;44736;12020
8;X3_no_target;1;66;21158;15102
9;M1_cued_target;1;114;30749;17559
10;X2_no_target;1;43;12044;11204
11;M3_cued_target;1;62;15164;13104
12;X1_no_target;1;46;18259;16375
13;M1_cued_target;1;100;29619;17579
14;X3_no_target;1;49;16978;15512
15;M2_cued_target;1;165;46108;11996
16;X2_no_target;1;47;17961;10530
