58_2_VWM_retest ego;1/16/2018;17:30:06;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;211;57386;16725
2;X2_no_target;1;84;33253;8493
3;M2_cued_target;1;53;10143;10709
4;X2_no_target;1;68;24370;6888
5;M3_cued_target;1;90;20513;12799
6;X2_no_target;1;55;20403;11493
7;M2_cued_target;1;52;10157;10703
8;X2_no_target;1;53;16361;8742
9;M1_cued_target;1;155;36994;16627
10;X2_no_target;1;57;18362;11869
11;M3_cued_target;1;104;24689;12756
12;X2_no_target;1;54;19889;11911
13;M1_cued_target;1;85;19622;16575
14;X2_no_target;1;62;19277;10009
15;M2_cued_target;1;56;10152;10708
16;X2_no_target;1;46;16052;10993
