43_2_VWM_retest ego;11/27/2017;17:19:51;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;80;18286;16728
2;X2_no_target;1;105;30114;10783
3;M2_cued_target;1;54;10503;10714
4;X2_no_target;1;60;18210;10598
5;M3_cued_target;1;98;27458;12992
6;X2_no_target;1;38;10216;9950
7;M2_cued_target;1;138;40635;12014
8;X2_no_target;1;69;21632;10475
9;M1_cued_target;1;90;24575;17126
10;X2_no_target;1;58;11682;9267
11;M3_cued_target;1;75;18022;13092
12;X2_no_target;1;36;11051;10204
13;M1_cued_target;1;88;22802;16599
14;X2_no_target;1;33;8213;8058
15;M2_cued_target;1;54;10299;10713
16;X2_no_target;1;32;8531;8152
