40_1_VWM_learning ego;11/21/2017;13:12:28;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M3_cued_target;1;170;27951;13179
2;L2_hidden_target;1;211;102973;12017
3;M1_cued_target;1;138;24791;17108
4;L2_hidden_target;1;48;13119;10895
5;M2_cued_target;1;178;36068;11470
6;L2_hidden_target;1;267;156049;12024
7;M1_cued_target;1;102;19493;16729
8;L2_hidden_target;1;37;11323;10702
9;M3_cued_target;1;140;27006;13088
10;L2_hidden_target;1;35;11358;10693
11;M2_cued_target;1;64;10437;10703
12;L2_hidden_target;1;34;11325;10713
13;M3_cued_target;1;127;25104;13206
14;L2_hidden_target;1;35;11430;10748
15;M1_cued_target;1;112;20662;16641
16;L2_hidden_target;1;35;11188;10702
