41_1_VWM_learning ego;11/22/2017;12:41:43;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M3_cued_target;1;105;15451;12697
2;L2_hidden_target;1;185;62542;11694
3;M1_cued_target;1;127;18748;16468
4;L2_hidden_target;1;40;10951;10691
5;M2_cued_target;1;85;10491;10714
6;L2_hidden_target;1;39;11363;10799
7;M1_cued_target;1;158;24616;16879
8;L2_hidden_target;1;36;11188;10690
9;M3_cued_target;1;88;13170;12657
10;L2_hidden_target;1;34;10862;10702
11;M2_cued_target;1;69;10945;10713
12;L2_hidden_target;1;36;11265;10692
13;M3_cued_target;1;89;13006;12681
14;L2_hidden_target;1;34;11349;10700
15;M1_cued_target;1;180;20937;16711
16;L2_hidden_target;1;35;11548;10729
