18_1_VWM_learning ego;9/26/2017;00:51:14;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M3_cued_target;1;80;12018;12612
2;L2_hidden_target;1;51;14082;10695
3;M1_cued_target;1;167;29620;16754
4;L2_hidden_target;1;54;15264;10739
5;M2_cued_target;1;75;9604;10719
6;L2_hidden_target;1;50;11740;10697
7;M1_cued_target;1;161;20238;16603
8;L2_hidden_target;1;218;75117;11714
9;M3_cued_target;1;114;11895;12590
10;L2_hidden_target;1;61;16768;11986
11;M2_cued_target;1;92;9771;10716
12;L2_hidden_target;1;52;12090;10734
13;M3_cued_target;1;159;19496;12847
14;L2_hidden_target;1;41;10454;10706
15;M1_cued_target;1;158;23251;16930
16;L2_hidden_target;1;45;10885;10756
