25_2_VWM_retest allo;10/20/2017;18:06:45;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;80;20206;16500
2;X2_no_target;1;79;20865;11403
3;M2_cued_target;1;57;12394;10707
4;X3_no_target;1;75;27017;10333
5;M3_cued_target;1;147;44096;12804
6;X1_no_target;1;71;19364;14225
7;M2_cued_target;1;54;12414;10712
8;X3_no_target;1;75;23282;10235
9;M1_cued_target;1;81;21645;16583
10;X2_no_target;1;55;20565;12179
11;M3_cued_target;1;115;35515;12406
12;X1_no_target;1;52;21157;13284
13;M1_cued_target;1;69;18282;16422
14;X3_no_target;1;88;38092;10773
15;M2_cued_target;1;49;10722;10706
16;X2_no_target;1;67;27400;13114
