28_2_VWM_retest allo;10/25/2017;17:33:21;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;100;25295;16470
2;X2_no_target;1;76;21287;10319
3;M2_cued_target;1;72;15580;10740
4;X3_no_target;1;64;12489;10254
5;M3_cued_target;1;57;13305;12649
6;X1_no_target;1;56;15980;15249
7;M2_cued_target;1;57;13351;10720
8;X3_no_target;1;50;15181;11529
9;M1_cued_target;1;93;22989;16548
10;X2_no_target;1;50;17806;10507
11;M3_cued_target;1;71;17304;12720
12;X1_no_target;1;50;17630;16570
13;M1_cued_target;1;92;24172;14273
14;X3_no_target;1;48;15484;12295
15;M2_cued_target;1;73;19153;10729
16;X2_no_target;1;49;13885;11059
