48_2_VWM_retest ego;12/9/2017;18:03:07;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;80;21429;16798
2;X2_no_target;1;34;10710;10045
3;M2_cued_target;1;120;35591;11512
4;X2_no_target;1;34;10701;10333
5;M3_cued_target;1;62;14631;12953
6;X2_no_target;1;31;9903;9328
7;M2_cued_target;1;137;41619;12036
8;X2_no_target;1;34;10566;9522
9;M1_cued_target;1;97;27531;17378
10;X2_no_target;1;33;10841;10096
11;M3_cued_target;1;60;13825;12727
12;X2_no_target;1;35;12275;11342
13;M1_cued_target;1;100;28171;17532
14;X2_no_target;1;34;11867;9551
15;M2_cued_target;1;133;38484;11796
16;X2_no_target;1;32;10472;9880
