55_1_VWM_learning allo;1/9/2018;12:49:09;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M3_cued_target;1;100;14794;12695
2;L1_hidden_target;1;75;20932;16850
3;M1_cued_target;1;140;24610;16813
4;L2_hidden_target;1;46;13045;10997
5;M2_cued_target;1;69;11430;10701
6;L3_hidden_target;1;47;14139;12640
7;M1_cued_target;1;109;19730;16547
8;L2_hidden_target;1;42;14356;11969
9;M3_cued_target;1;15;280;185
10;L1_hidden_target;1;61;18452;16979
11;M2_cued_target;1;71;11615;10704
12;L3_hidden_target;1;72;20701;12734
13;M3_cued_target;1;130;24344;13109
14;L2_hidden_target;1;75;23144;11487
15;M1_cued_target;1;121;20982;16586
16;L3_hidden_target;1;44;13687;13123
