55_2_VWM_retest allo;1/9/2018;17:36:32;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;82;23658;16865
2;X2_no_target;1;15;0;0
3;M2_cued_target;1;59;11056;10709
4;X3_no_target;1;53;14812;14527
5;M3_cued_target;1;68;14416;12625
6;X1_no_target;1;59;19456;19096
7;M2_cued_target;1;155;43059;11818
8;X3_no_target;1;107;14927;14843
9;M1_cued_target;1;95;20224;16738
10;X2_no_target;1;43;12049;11110
11;M3_cued_target;1;103;25183;12813
12;X1_no_target;1;57;19137;18805
13;M1_cued_target;1;114;27593;17003
14;X3_no_target;1;54;15511;14884
15;M2_cued_target;1;64;11209;10709
16;X2_no_target;1;48;11630;10327
