46_2_VWM_retest ego;12/5/2017;17:14:13;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;80;23849;16609
2;X2_no_target;1;40;11642;11027
3;M2_cued_target;1;51;11139;10713
4;X2_no_target;1;35;10746;10263
5;M3_cued_target;1;72;18464;12816
6;X2_no_target;1;34;10318;10134
7;M2_cued_target;1;51;11526;10716
8;X2_no_target;1;32;9692;9453
9;M1_cued_target;1;73;19028;16726
10;X2_no_target;1;32;9706;9372
11;M3_cued_target;1;56;13175;12620
12;X2_no_target;1;31;9485;9105
13;M1_cued_target;1;74;19515;16666
14;X2_no_target;1;34;10636;10220
15;M2_cued_target;1;51;11193;10710
16;X2_no_target;1;32;8974;8809
