41_2_VWM_retest ego;11/22/2017;17:06:29;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;124;18918;16550
2;X2_no_target;1;34;11983;11399
3;M2_cued_target;1;50;10429;10716
4;X2_no_target;1;42;13799;13335
5;M3_cued_target;1;144;25298;12675
6;X2_no_target;1;42;12830;12493
7;M2_cued_target;1;55;10930;10714
8;X2_no_target;1;41;13235;12863
9;M1_cued_target;1;102;18310;16762
10;X2_no_target;1;40;13238;13025
11;M3_cued_target;1;110;20141;12765
12;X2_no_target;1;42;13002;12725
13;M1_cued_target;1;116;23087;16567
14;X2_no_target;1;37;13567;13039
15;M2_cued_target;1;51;10567;10718
16;X2_no_target;1;42;13780;13494
