19_2_VWM_retest allo;9/27/2017;05:28:55;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;82;23957;16873
2;X2_no_target;1;15;0;0
3;M2_cued_target;1;117;32496;11315
4;X3_no_target;1;76;25104;12837
5;M3_cued_target;1;93;22398;13012
6;X1_no_target;1;58;16433;15308
7;M2_cued_target;1;122;33962;10668
8;X3_no_target;1;64;22983;12786
9;M1_cued_target;1;72;18821;16642
10;X2_no_target;1;45;12456;8513
11;M3_cued_target;1;114;33843;13816
12;X1_no_target;1;49;15843;14403
13;M1_cued_target;1;81;21134;16674
14;X3_no_target;1;46;17500;12740
15;M2_cued_target;1;164;50413;11328
16;X2_no_target;1;50;15229;9206
