44_1_VWM_retest allo;11/28/2017;16:36:33;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;80;19106;16675
2;X2_no_target;1;40;11063;10212
3;M2_cued_target;1;141;40685;10784
4;X3_no_target;1;43;15359;13038
5;M3_cued_target;1;101;25378;12692
6;X1_no_target;1;41;14859;13947
7;M2_cued_target;1;52;11102;10710
8;X3_no_target;1;39;14054;13134
9;M1_cued_target;1;224;66125;17059
10;X2_no_target;1;34;11449;10847
11;M3_cued_target;1;68;17299;12686
12;X1_no_target;1;45;19720;17896
13;M1_cued_target;1;81;21985;16680
14;X3_no_target;1;40;14889;11866
15;M2_cued_target;1;71;18290;10780
16;X2_no_target;1;33;11157;10303
