40_2_VWM_retest ego;11/21/2017;16:44:57;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;80;17777;16497
2;X2_no_target;1;90;24000;13005
3;M2_cued_target;1;51;10625;10702
4;X2_no_target;1;39;12335;11766
5;M3_cued_target;1;64;15151;12696
6;X2_no_target;1;36;12225;11673
7;M2_cued_target;1;49;10470;10704
8;X2_no_target;1;34;11398;10712
9;M1_cued_target;1;80;19428;16490
10;X2_no_target;1;38;13281;12439
11;M3_cued_target;1;100;26167;13233
12;X2_no_target;1;36;12660;11965
13;M1_cued_target;1;75;17132;16581
14;X2_no_target;1;43;13986;13268
15;M2_cued_target;1;48;10519;10701
16;X2_no_target;1;37;13553;12831
