50_2_VWM_retest ego;12/16/2017;17:45:21;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;139;34872;16508
2;X2_no_target;1;37;12338;11535
3;M2_cued_target;1;107;27378;10749
4;X2_no_target;1;35;11005;10327
5;M3_cued_target;1;58;13718;12624
6;X2_no_target;1;35;10592;10027
7;M2_cued_target;1;200;59675;11276
8;X2_no_target;1;37;10039;9119
9;M1_cued_target;1;130;38258;16722
10;X2_no_target;1;35;10799;10255
11;M3_cued_target;1;90;23032;12872
12;X2_no_target;1;34;11343;10442
13;M1_cued_target;1;74;19126;16656
14;X2_no_target;1;34;10773;10207
15;M2_cued_target;1;105;28508;11182
16;X2_no_target;1;35;11401;10653
