32_2_VWM_retest ego;11/1/2017;16:33:31;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;148;21404;16879
2;X2_no_target;1;98;16836;14243
3;M2_cued_target;1;53;10758;10704
4;X2_no_target;1;63;12272;12220
5;M3_cued_target;1;127;30853;13407
6;X2_no_target;1;58;15367;14844
7;M2_cued_target;1;54;10572;10699
8;X2_no_target;1;59;14230;14036
9;M1_cued_target;1;100;19155;16860
10;X2_no_target;1;56;12476;12514
11;M3_cued_target;1;63;13542;12674
12;X2_no_target;1;55;14141;13887
13;M1_cued_target;1;82;19506;16706
14;X2_no_target;1;49;13450;13508
15;M2_cued_target;1;62;10535;10700
16;X2_no_target;1;46;12048;11536
