21_1_VWM_learning ego;10/7/2017;11:39:45;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M3_cued_target;1;129;18375;12612
2;L2_hidden_target;1;688;387365;12033
3;M1_cued_target;1;174;33204;16876
4;L2_hidden_target;1;61;20831;12033
5;M2_cued_target;1;66;10375;10705
6;L2_hidden_target;1;63;21696;10709
7;M1_cued_target;1;226;38325;16779
8;L2_hidden_target;1;60;18507;10727
9;M3_cued_target;1;79;12488;12665
10;L2_hidden_target;1;40;11366;10695
11;M2_cued_target;1;74;10369;10693
12;L2_hidden_target;1;59;23640;10702
13;M3_cued_target;1;159;25786;12757
14;L2_hidden_target;1;38;11430;10764
15;M1_cued_target;1;201;35251;16923
16;L2_hidden_target;1;44;11884;11174
