23_2_VWM_retest ego;10/17/2017;16:22:40;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;80;19925;16734
2;X2_no_target;1;83;20174;12744
3;M2_cued_target;1;69;16176;10744
4;X2_no_target;1;35;11351;10707
5;M3_cued_target;1;61;14724;12654
6;X2_no_target;1;32;10211;9603
7;M2_cued_target;1;65;14678;10740
8;X2_no_target;1;36;10360;9813
9;M1_cued_target;1;169;47591;16724
10;X2_no_target;1;34;10883;9878
11;M3_cued_target;1;58;14541;12623
12;X2_no_target;1;33;10820;9946
13;M1_cued_target;1;140;40460;16529
14;X2_no_target;1;34;11492;10318
15;M2_cued_target;1;49;11168;10605
16;X2_no_target;1;33;11393;10455
