38_2_VWM_retest ego;11/17/2017;17:48:09;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;100;27620;16438
2;X2_no_target;1;72;29022;11522
3;M2_cued_target;1;52;11070;10715
4;X2_no_target;1;73;22159;12120
5;M3_cued_target;1;66;13805;12663
6;X2_no_target;1;56;15224;9278
7;M2_cued_target;1;53;11120;10708
8;X2_no_target;1;52;10663;9563
9;M1_cued_target;1;112;23947;16468
10;X2_no_target;1;65;15303;10331
11;M3_cued_target;1;76;14399;12667
12;X2_no_target;1;74;22995;11182
13;M1_cued_target;1;97;23799;16438
14;X2_no_target;1;74;18731;11139
15;M2_cued_target;1;53;10904;10710
16;X2_no_target;1;63;18980;11964
