26_2_VWM_retest ego;10/21/2017;16:29:57;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;100;30769;16561
2;X2_no_target;1;47;13408;10941
3;M2_cued_target;1;48;11059;10601
4;X2_no_target;1;39;12853;11519
5;M3_cued_target;1;55;13069;12553
6;X2_no_target;1;32;9045;8361
7;M2_cued_target;1;49;11238;10693
8;X2_no_target;1;33;10408;9704
9;M1_cued_target;1;75;20060;16581
10;X2_no_target;1;48;16676;10780
11;M3_cued_target;1;82;22061;12847
12;X2_no_target;1;36;11126;10684
13;M1_cued_target;1;120;36373;16726
14;X2_no_target;1;34;9642;9046
15;M2_cued_target;1;51;11242;10491
16;X2_no_target;1;36;11133;10646
