54_2_VWM_retest ego;1/6/2018;17:40:22;Virtual Water Maze - RMT for fMRI [Sept. 2016]
no;cond;finished;time[sec];path length[px];beeline[px]
1;M1_cued_target;1;100;22418;16904
2;X2_no_target;1;42;9337;8759
3;M2_cued_target;1;76;14133;10759
4;X2_no_target;1;89;24915;11156
5;M3_cued_target;1;69;14258;12687
6;X2_no_target;1;32;7989;7835
7;M2_cued_target;1;71;14377;10733
8;X2_no_target;1;39;10284;9960
9;M1_cued_target;1;80;20394;16708
10;X2_no_target;1;35;9561;9315
11;M3_cued_target;1;197;59542;12994
12;X2_no_target;1;40;10681;10132
13;M1_cued_target;1;81;19611;16593
14;X2_no_target;1;34;8759;8552
15;M2_cued_target;1;59;12821;10733
16;X2_no_target;1;31;7855;7731
